position,AM
minutes,276.0
passes_completed,91.0
passes,131.0
dribbles_completed,2.0
dribbles,4.0
passes_completed_short,48.0
passes_short,64.0
passes_completed_medium,29.0
passes_medium,43.0
passes_completed_long,12.0
passes_long,19.0
passes_total_distance,1560.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,18.0
passes_switches,6.0
crosses,6.0
corner_kicks,1.0
passes_intercepted,5.0
passes_blocked,7.0
dispossessed,4.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,6.0
shots_on_target,4.0
sca,7.0
gca,2.0
xg,1.0999999999999999
crosses_into_penalty_area,2.0
passes_into_final_third,9.0
passes_into_penalty_area,3.0
progressive_passes,8.0
carry_progressive_distance,260.0
assisted_shots,4.0
fouled,10.0
pens_won,0.0
tackles,4.0
interceptions,0.0
blocks,1.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,6.0
pressures,67.0
pressure_regains,12.0
clearances,2.0
errors,0.0
aerials_won,5.0
aerials_lost,5.0
ball_recoveries,15.0
pens_conceded,0.0
fouls,9.0
cards_yellow_red,0.0
