position,AM
minutes,90
passes_completed,17
passes,24
dribbles_completed,3
dribbles,5
passes_completed_short,9
passes_short,12
passes_completed_medium,5
passes_medium,6
passes_completed_long,3
passes_long,6
passes_total_distance,315
passes_free_kicks,0
through_balls,0
passes_pressure,6
passes_switches,1
crosses,0
corner_kicks,0
passes_intercepted,1
passes_blocked,0
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,0
shots_on_target,0
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,3
passes_into_penalty_area,0
progressive_passes,2
carry_progressive_distance,166
assisted_shots,0
fouled,3
pens_won,0
tackles,1
interceptions,0
blocks,1
tackles_won,1
dribble_tackles,1
dribbles_vs,4
pressures,26
pressure_regains,7
clearances,0
errors,0
aerials_won,0
aerials_lost,2
ball_recoveries,4
pens_conceded,0
fouls,2
cards_yellow_red,0
