position,GK
minutes,3239.0
passes_completed,607.0
passes,971.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,53.0
passes_short,53.0
passes_completed_medium,207.0
passes_medium,214.0
passes_completed_long,346.0
passes_long,701.0
passes_total_distance,23365.0
passes_free_kicks,131.0
through_balls,0.0
passes_pressure,50.0
passes_switches,28.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,0.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,3.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,16.0
passes_into_penalty_area,0.0
progressive_passes,0.0
carry_progressive_distance,1780.0
assisted_shots,2.0
fouled,5.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,6.0
pressure_regains,2.0
clearances,5.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,199.0
pens_conceded,1.0
fouls,2.0
cards_yellow_red,0.0
