position,RM
minutes,90
passes_completed,51
passes,60
dribbles_completed,0
dribbles,2
passes_completed_short,23
passes_short,26
passes_completed_medium,21
passes_medium,23
passes_completed_long,6
passes_long,10
passes_total_distance,893
passes_free_kicks,0
through_balls,0
passes_pressure,9
passes_switches,3
crosses,3
corner_kicks,0
passes_intercepted,0
passes_blocked,0
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,1
sca,3
gca,1
xg,0.1
crosses_into_penalty_area,1
passes_into_final_third,2
passes_into_penalty_area,3
progressive_passes,7
carry_progressive_distance,103
assisted_shots,1
fouled,1
pens_won,0
tackles,2
interceptions,0
blocks,3
tackles_won,1
dribble_tackles,0
dribbles_vs,1
pressures,27
pressure_regains,5
clearances,1
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,8
pens_conceded,0
fouls,0
cards_yellow_red,0
