position,WB
minutes,3060.0
passes_completed,1661.0
passes,2183.0
dribbles_completed,46.0
dribbles,97.0
passes_completed_short,620.0
passes_short,706.0
passes_completed_medium,676.0
passes_medium,835.0
passes_completed_long,354.0
passes_long,573.0
passes_total_distance,35884.0
passes_free_kicks,60.0
through_balls,8.0
passes_pressure,384.0
passes_switches,127.0
crosses,108.0
corner_kicks,53.0
passes_intercepted,38.0
passes_blocked,80.0
dispossessed,45.0
goals,5.0
assists,9.0
pens_made,1.0
pens_att,2.0
shots_total,21.0
shots_on_target,9.0
sca,96.0
gca,16.0
xg,3.0
crosses_into_penalty_area,22.0
passes_into_final_third,147.0
passes_into_penalty_area,56.0
progressive_passes,211.0
carry_progressive_distance,7138.0
assisted_shots,62.0
fouled,38.0
pens_won,0.0
tackles,62.0
interceptions,29.0
blocks,55.0
tackles_won,43.0
dribble_tackles,21.0
dribbles_vs,51.0
pressures,529.0
pressure_regains,147.0
clearances,47.0
errors,1.0
aerials_won,17.0
aerials_lost,26.0
ball_recoveries,333.0
pens_conceded,1.0
fouls,34.0
cards_yellow_red,0.0
