position,GK
minutes,3420.0
passes_completed,704.0
passes,1130.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,37.0
passes_short,38.0
passes_completed_medium,278.0
passes_medium,285.0
passes_completed_long,389.0
passes_long,807.0
passes_total_distance,27938.0
passes_free_kicks,153.0
through_balls,1.0
passes_pressure,62.0
passes_switches,52.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,2.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,2.0
gca,0.0
xg,0.0
crosses_into_penalty_area,1.0
passes_into_final_third,32.0
passes_into_penalty_area,1.0
progressive_passes,1.0
carry_progressive_distance,1828.0
assisted_shots,1.0
fouled,15.0
pens_won,0.0
tackles,0.0
interceptions,1.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,1.0
pressure_regains,0.0
clearances,3.0
errors,2.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,227.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
