position,RW
minutes,90
passes_completed,21
passes,33
dribbles_completed,2
dribbles,2
passes_completed_short,12
passes_short,15
passes_completed_medium,9
passes_medium,13
passes_completed_long,0
passes_long,2
passes_total_distance,311
passes_free_kicks,0
through_balls,0
passes_pressure,1
passes_switches,0
crosses,3
corner_kicks,0
passes_intercepted,0
passes_blocked,5
dispossessed,5
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,1
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,0
passes_into_penalty_area,1
progressive_passes,2
carry_progressive_distance,68
assisted_shots,0
fouled,3
pens_won,0
tackles,3
interceptions,0
blocks,1
tackles_won,3
dribble_tackles,3
dribbles_vs,5
pressures,22
pressure_regains,4
clearances,1
errors,0
aerials_won,0
aerials_lost,1
ball_recoveries,7
pens_conceded,0
fouls,0
cards_yellow_red,0
