position,RB
minutes,1368.0
passes_completed,639.0
passes,840.0
dribbles_completed,17.0
dribbles,27.0
passes_completed_short,337.0
passes_short,392.0
passes_completed_medium,228.0
passes_medium,300.0
passes_completed_long,59.0
passes_long,114.0
passes_total_distance,10611.0
passes_free_kicks,13.0
through_balls,0.0
passes_pressure,97.0
passes_switches,17.0
crosses,40.0
corner_kicks,1.0
passes_intercepted,22.0
passes_blocked,28.0
dispossessed,9.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,0.0
sca,27.0
gca,3.0
xg,0.0
crosses_into_penalty_area,14.0
passes_into_final_third,39.0
passes_into_penalty_area,22.0
progressive_passes,57.0
carry_progressive_distance,1533.0
assisted_shots,16.0
fouled,10.0
pens_won,1.0
tackles,36.0
interceptions,16.0
blocks,18.0
tackles_won,21.0
dribble_tackles,15.0
dribbles_vs,46.0
pressures,223.0
pressure_regains,66.0
clearances,32.0
errors,0.0
aerials_won,11.0
aerials_lost,7.0
ball_recoveries,182.0
pens_conceded,0.0
fouls,21.0
cards_yellow_red,0.0
