position,RW
minutes,954.0
passes_completed,522.0
passes,632.0
dribbles_completed,30.0
dribbles,42.0
passes_completed_short,271.0
passes_short,309.0
passes_completed_medium,202.0
passes_medium,234.0
passes_completed_long,36.0
passes_long,54.0
passes_total_distance,8350.0
passes_free_kicks,6.0
through_balls,2.0
passes_pressure,122.0
passes_switches,7.0
crosses,35.0
corner_kicks,11.0
passes_intercepted,7.0
passes_blocked,29.0
dispossessed,12.0
goals,1.0
assists,5.0
pens_made,0.0
pens_att,0.0
shots_total,25.0
shots_on_target,6.0
sca,48.0
gca,8.0
xg,2.6
crosses_into_penalty_area,4.0
passes_into_final_third,22.0
passes_into_penalty_area,27.0
progressive_passes,51.0
carry_progressive_distance,2863.0
assisted_shots,24.0
fouled,13.0
pens_won,0.0
tackles,13.0
interceptions,13.0
blocks,19.0
tackles_won,9.0
dribble_tackles,5.0
dribbles_vs,20.0
pressures,186.0
pressure_regains,57.0
clearances,2.0
errors,0.0
aerials_won,6.0
aerials_lost,14.0
ball_recoveries,94.0
pens_conceded,1.0
fouls,8.0
cards_yellow_red,0.0
