position,AM
minutes,500.0
passes_completed,213.0
passes,293.0
dribbles_completed,1.0
dribbles,4.0
passes_completed_short,114.0
passes_short,137.0
passes_completed_medium,72.0
passes_medium,97.0
passes_completed_long,26.0
passes_long,54.0
passes_total_distance,3753.0
passes_free_kicks,12.0
through_balls,1.0
passes_pressure,39.0
passes_switches,14.0
crosses,16.0
corner_kicks,20.0
passes_intercepted,10.0
passes_blocked,9.0
dispossessed,9.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,12.0
shots_on_target,6.0
sca,15.0
gca,1.0
xg,1.5000000000000002
crosses_into_penalty_area,1.0
passes_into_final_third,12.0
passes_into_penalty_area,10.0
progressive_passes,24.0
carry_progressive_distance,572.0
assisted_shots,10.0
fouled,5.0
pens_won,0.0
tackles,7.0
interceptions,3.0
blocks,4.0
tackles_won,4.0
dribble_tackles,2.0
dribbles_vs,10.0
pressures,129.0
pressure_regains,18.0
clearances,2.0
errors,0.0
aerials_won,1.0
aerials_lost,4.0
ball_recoveries,54.0
pens_conceded,0.0
fouls,6.0
cards_yellow_red,0.0
