position,DF
minutes,2790.0
passes_completed,1323.0
passes,1612.0
dribbles_completed,8.0
dribbles,12.0
passes_completed_short,531.0
passes_short,574.0
passes_completed_medium,587.0
passes_medium,688.0
passes_completed_long,198.0
passes_long,335.0
passes_total_distance,26457.0
passes_free_kicks,40.0
through_balls,0.0
passes_pressure,200.0
passes_switches,44.0
crosses,29.0
corner_kicks,0.0
passes_intercepted,17.0
passes_blocked,11.0
dispossessed,8.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,22.0
shots_on_target,3.0
sca,35.0
gca,3.0
xg,1.3
crosses_into_penalty_area,7.0
passes_into_final_third,98.0
passes_into_penalty_area,20.0
progressive_passes,110.0
carry_progressive_distance,3545.0
assisted_shots,12.0
fouled,16.0
pens_won,0.0
tackles,57.0
interceptions,39.0
blocks,55.0
tackles_won,35.0
dribble_tackles,23.0
dribbles_vs,64.0
pressures,281.0
pressure_regains,96.0
clearances,167.0
errors,2.0
aerials_won,64.0
aerials_lost,33.0
ball_recoveries,365.0
pens_conceded,1.0
fouls,31.0
cards_yellow_red,0.0
