position,LB
minutes,-0.0269
passes_completed,0.0412
passes,0.0212
dribbles_completed,-0.3837
dribbles,-0.3457
passes_completed_short,-0.0398
passes_short,-0.061
passes_completed_medium,0.195
passes_medium,0.1804
passes_completed_long,-0.1433
passes_long,-0.1148
passes_total_distance,0.0227
passes_free_kicks,0.1034
through_balls,-0.073
passes_pressure,-0.1563
passes_switches,-0.1238
crosses,0.0308
corner_kicks,-0.2751
passes_intercepted,-0.0588
passes_blocked,0.1997
dispossessed,-0.3187
goals,-0.3403
assists,-0.1163
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.5631
shots_on_target,-0.526
sca,-0.345
gca,-0.4198
xg,-0.3641
crosses_into_penalty_area,0.4735
passes_into_final_third,-0.223
passes_into_penalty_area,-0.1325
progressive_passes,-0.0534
carry_progressive_distance,0.1456
assisted_shots,-0.3718
fouled,-0.1866
pens_won,-0.3681
tackles,0.1655
interceptions,0.23
blocks,0.0859
tackles_won,0.1044
dribble_tackles,0.3752
dribbles_vs,-0.0478
pressures,-0.1441
pressure_regains,-0.087
clearances,0.519
errors,-0.5331
aerials_won,0.2479
aerials_lost,-0.0957
ball_recoveries,-0.1117
pens_conceded,-0.4889
fouls,-0.0582
cards_yellow_red,2.2462
