position,AM
minutes,-0.9708
passes_completed,-0.8456
passes,-0.8841
dribbles_completed,-0.6606
dribbles,-0.5741
passes_completed_short,-0.8194
passes_short,-0.8282
passes_completed_medium,-0.792
passes_medium,-0.8275
passes_completed_long,-0.73
passes_long,-0.741
passes_total_distance,-0.8259
passes_free_kicks,-0.6158
through_balls,-0.5
passes_pressure,-0.9059
passes_switches,-0.7259
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.734
passes_blocked,-0.7471
dispossessed,-0.535
goals,-0.3403
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6023
shots_on_target,-0.526
sca,-0.7162
gca,-0.6302
xg,-0.3351
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.7256
passes_into_penalty_area,-0.6507
progressive_passes,-0.772
carry_progressive_distance,-0.8126
assisted_shots,-0.6472
fouled,-0.7961
pens_won,-0.3681
tackles,-0.7947
interceptions,-0.8029
blocks,-0.7864
tackles_won,-0.7782
dribble_tackles,-0.8012
dribbles_vs,-0.8488
pressures,-0.8203
pressure_regains,-0.8457
clearances,-0.6002
errors,-0.5331
aerials_won,-0.6032
aerials_lost,-0.5739
ball_recoveries,-0.9037
pens_conceded,0.7569
fouls,-0.8646
cards_yellow_red,-0.3235
