position,GK
minutes,0.0602
passes_completed,-0.2496
passes,-0.1682
dribbles_completed,-0.5851
dribbles,-0.6198
passes_completed_short,-0.6639
passes_short,-0.7049
passes_completed_medium,-0.1164
passes_medium,-0.2134
passes_completed_long,0.4806
passes_long,0.8715
passes_total_distance,0.0675
passes_free_kicks,0.4539
through_balls,-0.5
passes_pressure,-0.244
passes_switches,-0.2333
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.6546
passes_blocked,-0.7471
dispossessed,-0.7273
goals,-0.4721
assists,-0.1163
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.675
gca,-0.525
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.6232
passes_into_penalty_area,-0.6203
progressive_passes,-0.7807
carry_progressive_distance,-0.2461
assisted_shots,-0.6196
fouled,-0.7199
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8715
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.8107
pressures,-0.9088
pressure_regains,-0.9089
clearances,-0.5899
errors,0.2502
aerials_won,-0.6772
aerials_lost,-0.761
ball_recoveries,-0.4405
pens_conceded,-0.4889
fouls,-0.8915
cards_yellow_red,-0.3235
