position,GK
minutes,2.5124
passes_completed,0.5032
passes,1.1097
dribbles_completed,-0.6354
dribbles,-0.6502
passes_completed_short,-0.5934
passes_short,-0.6387
passes_completed_medium,0.1094
passes_medium,-0.0124
passes_completed_long,3.8934
passes_long,5.4959
passes_total_distance,2.0185
passes_free_kicks,5.0092
through_balls,-0.5
passes_pressure,0.2645
passes_switches,1.4815
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.4162
passes_blocked,-0.6225
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.6613
gca,-0.6302
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.3068
passes_into_penalty_area,-0.6507
progressive_passes,-0.7807
carry_progressive_distance,0.2703
assisted_shots,-0.5921
fouled,-0.4913
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.7535
pressures,-0.8851
pressure_regains,-0.901
clearances,-0.5386
errors,1.0334
aerials_won,-0.6772
aerials_lost,-0.7402
ball_recoveries,0.9044
pens_conceded,0.7569
fouls,-0.8646
cards_yellow_red,-0.3235
