position,CM
minutes,-0.5859
passes_completed,-0.5497
passes,-0.5512
dribbles_completed,-0.3837
dribbles,-0.4523
passes_completed_short,-0.5685
passes_short,-0.5393
passes_completed_medium,-0.508
passes_medium,-0.5115
passes_completed_long,-0.4134
passes_long,-0.4335
passes_total_distance,-0.5147
passes_free_kicks,-0.4314
through_balls,-0.2865
passes_pressure,-0.3711
passes_switches,-0.2515
crosses,-0.5155
corner_kicks,-0.3242
passes_intercepted,-0.456
passes_blocked,-0.5478
dispossessed,-0.5831
goals,-0.4721
assists,-0.1163
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.2691
shots_on_target,-0.2682
sca,-0.4138
gca,-0.4198
xg,-0.3062
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.4278
passes_into_penalty_area,-0.4983
progressive_passes,-0.4863
carry_progressive_distance,-0.6289
assisted_shots,-0.3993
fouled,-0.6183
pens_won,-0.3681
tackles,-0.1169
interceptions,-0.5536
blocks,-0.4886
tackles_won,-0.0427
dribble_tackles,0.2148
dribbles_vs,-0.0097
pressures,-0.4422
pressure_regains,-0.4268
clearances,-0.2613
errors,-0.5331
aerials_won,0.9324
aerials_lost,0.0914
ball_recoveries,-0.3508
pens_conceded,-0.4889
fouls,-0.0044
cards_yellow_red,-0.3235
