position,GK
minutes,2.3863
passes_completed,1.0141
passes,1.1223
dribbles_completed,-0.6606
dribbles,-0.6655
passes_completed_short,-0.2057
passes_short,-0.2965
passes_completed_medium,1.5043
passes_medium,1.2272
passes_completed_long,2.2591
passes_long,2.8997
passes_total_distance,1.7468
passes_free_kicks,2.4088
through_balls,-0.2865
passes_pressure,0.5056
passes_switches,0.4052
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.734
passes_blocked,-0.6724
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6219
shots_on_target,-0.526
sca,-0.62
gca,-0.6302
xg,-0.4943
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.5488
passes_into_penalty_area,-0.6507
progressive_passes,-0.7807
carry_progressive_distance,0.1338
assisted_shots,-0.6747
fouled,-0.5167
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.7535
pressures,-0.8937
pressure_regains,-0.9089
clearances,-0.5488
errors,1.0334
aerials_won,-0.6587
aerials_lost,-0.7195
ball_recoveries,0.7288
pens_conceded,2.0027
fouls,-0.8646
cards_yellow_red,-0.3235
