position,GK
minutes,0.2392
passes_completed,-0.5042
passes,-0.1849
dribbles_completed,-0.6858
dribbles,-0.6807
passes_completed_short,-0.7779
passes_short,-0.8042
passes_completed_medium,-0.6227
passes_medium,-0.6736
passes_completed_long,0.6249
passes_long,1.7471
passes_total_distance,0.0378
passes_free_kicks,1.5789
through_balls,-0.5
passes_pressure,-0.6078
passes_switches,-0.2515
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.734
passes_blocked,-0.6724
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6415
shots_on_target,-0.5775
sca,-0.675
gca,-0.6302
xg,-0.4943
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.2789
passes_into_penalty_area,-0.6203
progressive_passes,-0.7807
carry_progressive_distance,-0.3283
assisted_shots,-0.6472
fouled,-0.7707
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8715
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.8488
pressures,-0.9088
pressure_regains,-0.9168
clearances,-0.5796
errors,-0.5331
aerials_won,-0.6587
aerials_lost,-0.761
ball_recoveries,-0.1827
pens_conceded,-0.4889
fouls,-0.9183
cards_yellow_red,-0.3235
