position,GK
minutes,0.2034
passes_completed,-0.258
passes,-0.015
dribbles_completed,-0.6606
dribbles,-0.6655
passes_completed_short,-0.6597
passes_short,-0.6975
passes_completed_medium,-0.3987
passes_medium,-0.4743
passes_completed_long,1.1417
passes_long,1.9189
passes_total_distance,0.3763
passes_free_kicks,1.9846
through_balls,-0.2865
passes_pressure,-0.4631
passes_switches,-0.2151
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.734
passes_blocked,-0.6973
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.6475
gca,-0.525
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.3812
passes_into_penalty_area,-0.6507
progressive_passes,-0.7807
carry_progressive_distance,-0.3582
assisted_shots,-0.6196
fouled,-0.7199
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.8488
pressures,-0.9045
pressure_regains,-0.9089
clearances,-0.5694
errors,0.2502
aerials_won,-0.6772
aerials_lost,-0.761
ball_recoveries,-0.0931
pens_conceded,-0.4889
fouls,-0.9183
cards_yellow_red,-0.3235
