position,RB
minutes,1.4038
passes_completed,2.2229
passes,2.4991
dribbles_completed,0.1702
dribbles,0.1721
passes_completed_short,2.2054
passes_short,2.1798
passes_completed_medium,2.1508
passes_medium,2.3972
passes_completed_long,1.7097
passes_long,2.2818
passes_total_distance,2.0992
passes_free_kicks,1.2838
through_balls,0.9945
passes_pressure,2.4651
passes_switches,2.0106
crosses,4.4374
corner_kicks,3.0395
passes_intercepted,2.7215
passes_blocked,2.7912
dispossessed,-0.1264
goals,-0.3403
assists,2.1926
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.3083
shots_on_target,-0.3713
sca,2.2259
gca,2.1048
xg,-0.393
crosses_into_penalty_area,4.6752
passes_into_final_third,1.3312
passes_into_penalty_area,4.3183
progressive_passes,2.8469
carry_progressive_distance,0.7894
assisted_shots,2.9332
fouled,0.6515
pens_won,-0.3681
tackles,2.1235
interceptions,1.4409
blocks,2.2772
tackles_won,1.8403
dribble_tackles,2.8886
dribbles_vs,2.1073
pressures,1.1348
pressure_regains,1.4227
clearances,0.9297
errors,1.0334
aerials_won,0.5624
aerials_lost,0.6528
ball_recoveries,1.872
pens_conceded,0.7569
fouls,0.6407
cards_yellow_red,-0.3235
