position,GK
minutes,1.9354
passes_completed,0.5066
passes,0.8695
dribbles_completed,-0.5851
dribbles,-0.6046
passes_completed_short,-0.3985
passes_short,-0.4657
passes_completed_medium,0.4426
passes_medium,0.2793
passes_completed_long,2.6316
passes_long,3.803
passes_total_distance,1.4509
passes_free_kicks,4.5112
through_balls,-0.5
passes_pressure,-0.2571
passes_switches,0.4964
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.4162
passes_blocked,-0.797
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.6338
gca,-0.525
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.3999
passes_into_penalty_area,-0.6203
progressive_passes,-0.7807
carry_progressive_distance,0.2778
assisted_shots,-0.5921
fouled,-0.5675
pens_won,-0.3681
tackles,-0.8135
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.7782
dribble_tackles,-0.7477
dribbles_vs,-0.7725
pressures,-0.8959
pressure_regains,-0.9089
clearances,-0.5796
errors,1.0334
aerials_won,-0.6772
aerials_lost,-0.761
ball_recoveries,0.6055
pens_conceded,-0.4889
fouls,-0.8646
cards_yellow_red,2.2462
