position,LB
minutes,-0.0483
passes_completed,0.7274
passes,0.6891
dribbles_completed,-0.1822
dribbles,-0.2391
passes_completed_short,1.3077
passes_short,1.201
passes_completed_medium,0.3771
passes_medium,0.4154
passes_completed_long,0.0569
passes_long,0.1816
passes_total_distance,0.4511
passes_free_kicks,0.251
through_balls,0.1405
passes_pressure,0.1725
passes_switches,0.5147
crosses,1.36
corner_kicks,2.0329
passes_intercepted,0.6164
passes_blocked,0.4988
dispossessed,-0.3427
goals,-0.0767
assists,1.0381
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.2495
shots_on_target,-0.1136
sca,0.6036
gca,0.5269
xg,-0.3351
crosses_into_penalty_area,1.2204
passes_into_final_third,0.4657
passes_into_penalty_area,0.7211
progressive_passes,0.7604
carry_progressive_distance,0.4743
assisted_shots,1.0053
fouled,-0.0596
pens_won,-0.3681
tackles,-0.2487
interceptions,0.0163
blocks,-0.0418
tackles_won,-0.4252
dribble_tackles,-0.0526
dribbles_vs,-0.4292
pressures,-0.52
pressure_regains,-0.5138
clearances,-0.2511
errors,-0.5331
aerials_won,0.3589
aerials_lost,-0.0749
ball_recoveries,0.0153
pens_conceded,-0.4889
fouls,-0.1388
cards_yellow_red,-0.3235
