position,RM
minutes,-0.9323
passes_completed,-0.806
passes,-0.8346
dribbles_completed,-0.5851
dribbles,-0.5893
passes_completed_short,-0.7655
passes_short,-0.7583
passes_completed_medium,-0.7629
passes_medium,-0.7967
passes_completed_long,-0.716
passes_long,-0.7161
passes_total_distance,-0.7954
passes_free_kicks,-0.6158
through_balls,-0.5
passes_pressure,-0.7875
passes_switches,-0.7076
crosses,-0.5337
corner_kicks,-0.3242
passes_intercepted,-0.5354
passes_blocked,-0.6973
dispossessed,-0.4148
goals,-0.4721
assists,-0.3472
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6023
shots_on_target,-0.4744
sca,-0.6475
gca,-0.525
xg,-0.3785
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.6977
passes_into_penalty_area,-0.5898
progressive_passes,-0.7028
carry_progressive_distance,-0.759
assisted_shots,-0.6196
fouled,-0.6437
pens_won,-0.3681
tackles,-0.6441
interceptions,-0.7317
blocks,-0.7439
tackles_won,-0.6017
dribble_tackles,-0.7477
dribbles_vs,-0.8107
pressures,-0.7295
pressure_regains,-0.656
clearances,-0.5591
errors,-0.5331
aerials_won,-0.4922
aerials_lost,-0.5323
ball_recoveries,-0.8066
pens_conceded,-0.4889
fouls,-0.7033
cards_yellow_red,-0.3235
