Hertha BSC,Stuttgart,https://fbref.com/en/matches/f3aa5498/Hertha-BSC-Stuttgart-September-17-2000-Bundesliga
Schalke 04,Werder Bremen,https://fbref.com/en/matches/58e4488f/Schalke-04-Werder-Bremen-September-17-2000-Bundesliga
1860 Munich,Freiburg,https://fbref.com/en/matches/944e2ea6/1860-Munich-Freiburg-September-22-2000-Bundesliga
Köln,Bayern Munich,https://fbref.com/en/matches/d2abf916/Koln-Bayern-Munich-September-23-2000-Bundesliga
Energie Cottbus,Leverkusen,https://fbref.com/en/matches/bc48b4e1/Energie-Cottbus-Bayer-Leverkusen-September-23-2000-Bundesliga
Stuttgart,Bochum,https://fbref.com/en/matches/c2685634/Stuttgart-Bochum-September-23-2000-Bundesliga
Werder Bremen,Eint Frankfurt,https://fbref.com/en/matches/3e5168ff/Werder-Bremen-Eintracht-Frankfurt-September-23-2000-Bundesliga
Wolfsburg,Hamburger SV,https://fbref.com/en/matches/e35031e7/Wolfsburg-Hamburger-SV-September-23-2000-Bundesliga
Dortmund,Schalke 04,https://fbref.com/en/matches/e36d9d3e/Dortmund-Schalke-04-September-23-2000-Bundesliga
Hansa Rostock,Kaiserslautern,https://fbref.com/en/matches/99e24ca0/Hansa-Rostock-Kaiserslautern-September-24-2000-Bundesliga
Unterhaching,Hertha BSC,https://fbref.com/en/matches/2c133b6f/Unterhaching-Hertha-BSC-September-24-2000-Bundesliga
Eint Frankfurt,Dortmund,https://fbref.com/en/matches/a15d534f/Eintracht-Frankfurt-Dortmund-September-29-2000-Bundesliga
Bochum,Unterhaching,https://fbref.com/en/matches/fafb8397/Bochum-Unterhaching-September-30-2000-Bundesliga
Hamburger SV,Schalke 04,https://fbref.com/en/matches/b57cfa0b/Hamburger-SV-Schalke-04-September-30-2000-Bundesliga
Bayern Munich,Hansa Rostock,https://fbref.com/en/matches/5f7ed3b0/Bayern-Munich-Hansa-Rostock-September-30-2000-Bundesliga
Hertha BSC,Köln,https://fbref.com/en/matches/c12f203d/Hertha-BSC-Koln-September-30-2000-Bundesliga
Kaiserslautern,Energie Cottbus,https://fbref.com/en/matches/5528e3a7/Kaiserslautern-Energie-Cottbus-September-30-2000-Bundesliga
Leverkusen,1860 Munich,https://fbref.com/en/matches/ef2be4fb/Bayer-Leverkusen-1860-Munich-September-30-2000-Bundesliga
Freiburg,Werder Bremen,https://fbref.com/en/matches/71beafc4/Freiburg-Werder-Bremen-October-1-2000-Bundesliga
Wolfsburg,Stuttgart,https://fbref.com/en/matches/85212132/Wolfsburg-Stuttgart-October-1-2000-Bundesliga
Dortmund,Freiburg,https://fbref.com/en/matches/55069a5f/Dortmund-Freiburg-October-13-2000-Bundesliga
Werder Bremen,Leverkusen,https://fbref.com/en/matches/182e277d/Werder-Bremen-Bayer-Leverkusen-October-14-2000-Bundesliga
Stuttgart,Hamburger SV,https://fbref.com/en/matches/d940fff7/Stuttgart-Hamburger-SV-October-14-2000-Bundesliga
Köln,Bochum,https://fbref.com/en/matches/588eb004/Koln-Bochum-October-14-2000-Bundesliga
