Montpellier,Saint-Étienne,https://fbref.com/en/matches/3a046b7d/Montpellier-Saint-Etienne-September-21-2012-Ligue-1
Sochaux,Troyes,https://fbref.com/en/matches/0ccbb894/Sochaux-Troyes-September-22-2012-Ligue-1
Toulouse,Rennes,https://fbref.com/en/matches/fad6c419/Toulouse-Rennes-September-22-2012-Ligue-1
Lorient,Nice,https://fbref.com/en/matches/7515208f/Lorient-Nice-September-22-2012-Ligue-1
Reims,Nancy,https://fbref.com/en/matches/0c246e7d/Reims-Nancy-September-22-2012-Ligue-1
Brest,Valenciennes,https://fbref.com/en/matches/185e9357/Brest-Valenciennes-September-22-2012-Ligue-1
Bastia,Paris S-G,https://fbref.com/en/matches/3837a231/Bastia-Paris-Saint-Germain-September-22-2012-Ligue-1
Lille,Lyon,https://fbref.com/en/matches/dec572a7/Lille-Lyon-September-23-2012-Ligue-1
Bordeaux,Ajaccio,https://fbref.com/en/matches/1d31186b/Bordeaux-Ajaccio-September-23-2012-Ligue-1
Marseille,Evian,https://fbref.com/en/matches/012148f2/Marseille-Evian-September-23-2012-Ligue-1
Rennes,Lille,https://fbref.com/en/matches/15e3848d/Rennes-Lille-September-28-2012-Ligue-1
Paris S-G,Sochaux,https://fbref.com/en/matches/04ac16ac/Paris-Saint-Germain-Sochaux-September-29-2012-Ligue-1
Nice,Bastia,https://fbref.com/en/matches/84d24c81/Nice-Bastia-September-29-2012-Ligue-1
Troyes,Toulouse,https://fbref.com/en/matches/3103df77/Troyes-Toulouse-September-29-2012-Ligue-1
Nancy,Montpellier,https://fbref.com/en/matches/6f93ff02/Nancy-Montpellier-September-29-2012-Ligue-1
Ajaccio,Brest,https://fbref.com/en/matches/488def9c/Ajaccio-Brest-September-29-2012-Ligue-1
Evian,Lorient,https://fbref.com/en/matches/a1f3dc99/Evian-Lorient-September-29-2012-Ligue-1
Valenciennes,Marseille,https://fbref.com/en/matches/15a953d4/Valenciennes-Marseille-September-30-2012-Ligue-1
Saint-Étienne,Reims,https://fbref.com/en/matches/466df5c6/Saint-Etienne-Reims-September-30-2012-Ligue-1
Lyon,Bordeaux,https://fbref.com/en/matches/1c5d3fa5/Lyon-Bordeaux-September-30-2012-Ligue-1
Saint-Étienne,Nancy,https://fbref.com/en/matches/1cf0448e/Saint-Etienne-Nancy-October-5-2012-Ligue-1
Montpellier,Evian,https://fbref.com/en/matches/6372019c/Montpellier-Evian-October-6-2012-Ligue-1
Toulouse,Valenciennes,https://fbref.com/en/matches/b93242b8/Toulouse-Valenciennes-October-6-2012-Ligue-1
Sochaux,Rennes,https://fbref.com/en/matches/d60ffe23/Sochaux-Rennes-October-6-2012-Ligue-1
Lille,Ajaccio,https://fbref.com/en/matches/812d3829/Lille-Ajaccio-October-6-2012-Ligue-1
Reims,Nice,https://fbref.com/en/matches/394257c2/Reims-Nice-October-6-2012-Ligue-1
Bastia,Troyes,https://fbref.com/en/matches/dd5a7f04/Bastia-Troyes-October-6-2012-Ligue-1
