position,RM
minutes,250.0
passes_completed,106.0
passes,120.0
dribbles_completed,3.0
dribbles,4.0
passes_completed_short,41.0
passes_short,42.0
passes_completed_medium,51.0
passes_medium,55.0
passes_completed_long,13.0
passes_long,22.0
passes_total_distance,1957.0
passes_free_kicks,5.0
through_balls,0.0
passes_pressure,31.0
passes_switches,3.0
crosses,3.0
corner_kicks,4.0
passes_intercepted,0.0
passes_blocked,0.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,1.0
sca,1.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,8.0
passes_into_penalty_area,1.0
progressive_passes,5.0
carry_progressive_distance,259.0
assisted_shots,0.0
fouled,0.0
pens_won,0.0
tackles,1.0
interceptions,3.0
blocks,8.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,2.0
pressures,54.0
pressure_regains,12.0
clearances,2.0
errors,0.0
aerials_won,0.0
aerials_lost,1.0
ball_recoveries,23.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
