position,RB
minutes,433.0
passes_completed,126.0
passes,189.0
dribbles_completed,1.0
dribbles,3.0
passes_completed_short,72.0
passes_short,94.0
passes_completed_medium,42.0
passes_medium,59.0
passes_completed_long,9.0
passes_long,28.0
passes_total_distance,1937.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,28.0
passes_switches,1.0
crosses,11.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,10.0
dispossessed,1.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,11.0
gca,1.0
xg,0.0
crosses_into_penalty_area,5.0
passes_into_final_third,7.0
passes_into_penalty_area,5.0
progressive_passes,15.0
carry_progressive_distance,460.0
assisted_shots,6.0
fouled,4.0
pens_won,0.0
tackles,9.0
interceptions,1.0
blocks,12.0
tackles_won,5.0
dribble_tackles,4.0
dribbles_vs,9.0
pressures,103.0
pressure_regains,28.0
clearances,9.0
errors,1.0
aerials_won,4.0
aerials_lost,3.0
ball_recoveries,29.0
pens_conceded,0.0
fouls,7.0
cards_yellow_red,0.0
