position,RM
minutes,360.0
passes_completed,90.0
passes,118.0
dribbles_completed,5.0
dribbles,9.0
passes_completed_short,49.0
passes_short,64.0
passes_completed_medium,34.0
passes_medium,42.0
passes_completed_long,3.0
passes_long,5.0
passes_total_distance,1330.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,36.0
passes_switches,1.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,5.0
dispossessed,7.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,6.0
shots_on_target,2.0
sca,10.0
gca,1.0
xg,0.7999999999999999
crosses_into_penalty_area,0.0
passes_into_final_third,10.0
passes_into_penalty_area,5.0
progressive_passes,11.0
carry_progressive_distance,724.0
assisted_shots,5.0
fouled,4.0
pens_won,0.0
tackles,1.0
interceptions,2.0
blocks,7.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,2.0
pressures,68.0
pressure_regains,17.0
clearances,7.0
errors,0.0
aerials_won,6.0
aerials_lost,8.0
ball_recoveries,14.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
