position,RW
minutes,71
passes_completed,3
passes,11
dribbles_completed,2
dribbles,2
passes_completed_short,3
passes_short,5
passes_completed_medium,0
passes_medium,2
passes_completed_long,0
passes_long,2
passes_total_distance,28
passes_free_kicks,0
through_balls,0
passes_pressure,5
passes_switches,0
crosses,0
corner_kicks,0
passes_intercepted,1
passes_blocked,1
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,0
sca,0
gca,0
xg,0.1
crosses_into_penalty_area,0
passes_into_final_third,0
passes_into_penalty_area,0
progressive_passes,0
carry_progressive_distance,48
assisted_shots,0
fouled,1
pens_won,0
tackles,1
interceptions,1
blocks,1
tackles_won,1
dribble_tackles,0
dribbles_vs,2
pressures,17
pressure_regains,3
clearances,0
errors,0
aerials_won,2
aerials_lost,2
ball_recoveries,4
pens_conceded,0
fouls,1
cards_yellow_red,0
