position,LM
minutes,80
passes_completed,40
passes,55
dribbles_completed,3
dribbles,3
passes_completed_short,5
passes_short,10
passes_completed_medium,21
passes_medium,26
passes_completed_long,13
passes_long,16
passes_total_distance,1088
passes_free_kicks,1
through_balls,0
passes_pressure,7
passes_switches,6
crosses,0
corner_kicks,1
passes_intercepted,1
passes_blocked,4
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,1
sca,6
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,7
passes_into_penalty_area,0
progressive_passes,5
carry_progressive_distance,134
assisted_shots,2
fouled,2
pens_won,0
tackles,2
interceptions,1
blocks,2
tackles_won,2
dribble_tackles,1
dribbles_vs,3
pressures,9
pressure_regains,3
clearances,1
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,14
pens_conceded,0
fouls,2
cards_yellow_red,0
