position,RB
minutes,65
passes_completed,40
passes,58
dribbles_completed,0
dribbles,1
passes_completed_short,17
passes_short,21
passes_completed_medium,18
passes_medium,23
passes_completed_long,5
passes_long,10
passes_total_distance,748
passes_free_kicks,0
through_balls,0
passes_pressure,7
passes_switches,0
crosses,2
corner_kicks,0
passes_intercepted,2
passes_blocked,6
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,0
sca,1
gca,0
xg,0.2
crosses_into_penalty_area,1
passes_into_final_third,4
passes_into_penalty_area,2
progressive_passes,6
carry_progressive_distance,39
assisted_shots,1
fouled,0
pens_won,0
tackles,0
interceptions,0
blocks,0
tackles_won,0
dribble_tackles,0
dribbles_vs,0
pressures,6
pressure_regains,2
clearances,1
errors,0
aerials_won,4
aerials_lost,1
ball_recoveries,5
pens_conceded,0
fouls,0
cards_yellow_red,0
