position,LM
minutes,413.0
passes_completed,137.0
passes,206.0
dribbles_completed,0.0
dribbles,1.0
passes_completed_short,85.0
passes_short,93.0
passes_completed_medium,32.0
passes_medium,50.0
passes_completed_long,12.0
passes_long,47.0
passes_total_distance,2059.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,54.0
passes_switches,8.0
crosses,17.0
corner_kicks,0.0
passes_intercepted,8.0
passes_blocked,11.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,0.0
sca,5.0
gca,0.0
xg,0.2
crosses_into_penalty_area,3.0
passes_into_final_third,8.0
passes_into_penalty_area,4.0
progressive_passes,10.0
carry_progressive_distance,339.0
assisted_shots,2.0
fouled,5.0
pens_won,0.0
tackles,3.0
interceptions,3.0
blocks,7.0
tackles_won,2.0
dribble_tackles,3.0
dribbles_vs,5.0
pressures,51.0
pressure_regains,11.0
clearances,6.0
errors,0.0
aerials_won,3.0
aerials_lost,2.0
ball_recoveries,32.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
