position,AM
minutes,197.0
passes_completed,76.0
passes,108.0
dribbles_completed,3.0
dribbles,5.0
passes_completed_short,35.0
passes_short,43.0
passes_completed_medium,32.0
passes_medium,45.0
passes_completed_long,8.0
passes_long,18.0
passes_total_distance,1362.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,22.0
passes_switches,6.0
crosses,6.0
corner_kicks,7.0
passes_intercepted,1.0
passes_blocked,3.0
dispossessed,1.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,5.0
shots_on_target,3.0
sca,10.0
gca,2.0
xg,0.6
crosses_into_penalty_area,1.0
passes_into_final_third,9.0
passes_into_penalty_area,2.0
progressive_passes,5.0
carry_progressive_distance,371.0
assisted_shots,4.0
fouled,0.0
pens_won,0.0
tackles,5.0
interceptions,1.0
blocks,6.0
tackles_won,2.0
dribble_tackles,1.0
dribbles_vs,4.0
pressures,36.0
pressure_regains,12.0
clearances,1.0
errors,0.0
aerials_won,0.0
aerials_lost,4.0
ball_recoveries,24.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
