position,CM
minutes,984.0
passes_completed,695.0
passes,768.0
dribbles_completed,13.0
dribbles,21.0
passes_completed_short,371.0
passes_short,402.0
passes_completed_medium,250.0
passes_medium,266.0
passes_completed_long,58.0
passes_long,70.0
passes_total_distance,11127.0
passes_free_kicks,6.0
through_balls,0.0
passes_pressure,113.0
passes_switches,7.0
crosses,7.0
corner_kicks,8.0
passes_intercepted,15.0
passes_blocked,16.0
dispossessed,13.0
goals,3.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,27.0
shots_on_target,9.0
sca,46.0
gca,6.0
xg,2.2
crosses_into_penalty_area,0.0
passes_into_final_third,57.0
passes_into_penalty_area,24.0
progressive_passes,68.0
carry_progressive_distance,2175.0
assisted_shots,18.0
fouled,14.0
pens_won,0.0
tackles,14.0
interceptions,3.0
blocks,15.0
tackles_won,10.0
dribble_tackles,6.0
dribbles_vs,18.0
pressures,121.0
pressure_regains,42.0
clearances,2.0
errors,0.0
aerials_won,0.0
aerials_lost,8.0
ball_recoveries,76.0
pens_conceded,0.0
fouls,9.0
cards_yellow_red,0.0
