position,RW
minutes,91.0
passes_completed,42.0
passes,55.0
dribbles_completed,4.0
dribbles,5.0
passes_completed_short,22.0
passes_short,28.0
passes_completed_medium,17.0
passes_medium,20.0
passes_completed_long,2.0
passes_long,5.0
passes_total_distance,661.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,5.0
passes_switches,0.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,2.0
dispossessed,2.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,2.0
sca,6.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,6.0
passes_into_penalty_area,1.0
progressive_passes,2.0
carry_progressive_distance,331.0
assisted_shots,2.0
fouled,2.0
pens_won,0.0
tackles,2.0
interceptions,2.0
blocks,0.0
tackles_won,0.0
dribble_tackles,1.0
dribbles_vs,2.0
pressures,10.0
pressure_regains,2.0
clearances,1.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,7.0
pens_conceded,0.0
fouls,1.0
cards_yellow_red,0.0
