position,WB
minutes,0.6364
passes_completed,0.6558
passes,0.671
dribbles_completed,1.4291
dribbles,1.1315
passes_completed_short,0.7521
passes_short,0.7393
passes_completed_medium,0.7176
passes_medium,0.7654
passes_completed_long,0.0662
passes_long,0.1484
passes_total_distance,0.5103
passes_free_kicks,-0.2839
through_balls,0.1405
passes_pressure,0.4443
passes_switches,0.0403
crosses,0.577
corner_kicks,-0.3242
passes_intercepted,0.5767
passes_blocked,0.7728
dispossessed,0.5226
goals,-0.4721
assists,1.0381
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.0534
shots_on_target,-0.1651
sca,0.2324
gca,0.7373
xg,-0.3785
crosses_into_penalty_area,1.0337
passes_into_final_third,0.4564
passes_into_penalty_area,0.4467
progressive_passes,0.4227
carry_progressive_distance,0.9746
assisted_shots,0.2066
fouled,0.169
pens_won,-0.3681
tackles,1.2763
interceptions,1.904
blocks,1.6815
tackles_won,1.1341
dribble_tackles,1.1774
dribbles_vs,0.9439
pressures,0.6725
pressure_regains,0.6165
clearances,0.3547
errors,1.0334
aerials_won,-0.0481
aerials_lost,-0.1581
ball_recoveries,0.7363
pens_conceded,-0.4889
fouls,1.6889
cards_yellow_red,-0.3235
