position,RB
passes_completed,0.5035
passes,0.8222
dribbles_completed,-0.3559
dribbles,-0.1172
passes_completed_short,0.1838
passes_short,0.1974
passes_completed_medium,0.966
passes_medium,1.2447
passes_completed_long,-0.2461
passes_long,0.3678
passes_total_distance,0.452
passes_free_kicks,-0.2839
through_balls,-0.632
passes_pressure,2.0057
passes_switches,-0.6288
crosses,0.1169
corner_kicks,-0.5565
passes_intercepted,0.8647
passes_blocked,1.2644
dispossessed,-0.5046
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.7693
shots_on_target,-0.5907
sca,-1.0983
gca,-1.0099
xg,-0.7624
crosses_into_penalty_area,0.0974
passes_into_final_third,0.126
passes_into_penalty_area,-0.4693
progressive_passes,0.0605
carry_progressive_distance,-0.0599
assisted_shots,-0.882
fouled,-0.2167
pens_won,-0.2935
tackles,0.9918
interceptions,0.044
blocks,1.3003
tackles_won,0.6634
dribble_tackles,0.2184
dribbles_vs,0.2335
pressures,-0.2155
pressure_regains,-0.1379
clearances,0.5984
errors,1.4976
aerials_won,0.6613
aerials_lost,-0.6777
ball_recoveries,0.6544
pens_conceded,-0.3182
fouls,0.4151
cards_yellow_red,-0.1906
