position,AM
minutes,-0.7154
passes_completed,-1.4316
passes,-1.2891
dribbles_completed,-0.1393
dribbles,-0.047
passes_completed_short,-1.3835
passes_short,-1.4525
passes_completed_medium,-1.2698
passes_medium,-1.2079
passes_completed_long,-0.7415
passes_long,-0.4106
passes_total_distance,-1.2398
passes_free_kicks,0.3948
through_balls,0.786
passes_pressure,-0.8497
passes_switches,0.5345
crosses,1.8348
corner_kicks,1.7226
passes_intercepted,-0.45
passes_blocked,0.1797
dispossessed,0.6234
goals,1.5697
assists,2.4376
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.0675
shots_on_target,-0.0477
sca,1.2426
gca,2.5504
xg,0.2592
crosses_into_penalty_area,1.9803
passes_into_final_third,-1.2581
passes_into_penalty_area,1.5086
progressive_passes,-1.16
carry_progressive_distance,-0.5329
assisted_shots,1.4784
fouled,0.7683
pens_won,-0.2935
tackles,-0.0739
interceptions,-0.8002
blocks,-1.0922
tackles_won,-0.0863
dribble_tackles,-0.9075
dribbles_vs,-0.3252
pressures,-0.0591
pressure_regains,-0.1355
clearances,-0.8947
errors,-0.3758
aerials_won,-0.5326
aerials_lost,1.583
ball_recoveries,-1.3527
pens_conceded,-0.3182
fouls,0.5481
cards_yellow_red,8.2638
