position,GK
passes_completed,-0.624
passes,-0.5585
dribbles_completed,-1.1415
dribbles,-1.1287
passes_completed_short,-1.6168
passes_short,-1.8139
passes_completed_medium,-0.3943
passes_medium,-0.7011
passes_completed_long,1.6176
passes_long,2.1662
passes_total_distance,0.486
passes_free_kicks,1.8123
through_balls,-0.6237
passes_pressure,-2.0091
passes_switches,-0.3887
crosses,-1.0011
corner_kicks,-0.4808
passes_intercepted,-1.6656
passes_blocked,-1.6594
dispossessed,-1.2521
goals,-0.7415
assists,-0.7586
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.3637
gca,-0.8349
xg,-0.8489
crosses_into_penalty_area,-0.7944
passes_into_final_third,-1.288
passes_into_penalty_area,-1.1652
progressive_passes,-1.7784
carry_progressive_distance,-1.3483
assisted_shots,-1.2043
fouled,-1.4937
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5668
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.7643
pressures,-2.1276
pressure_regains,-2.2635
clearances,-0.9943
errors,0.1847
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-0.7654
pens_conceded,-0.4415
fouls,-1.8516
cards_yellow_red,-0.2618
