position,LB
minutes,0.4411
passes_completed,-0.0641
passes,0.0963
dribbles_completed,-0.5596
dribbles,-0.2708
passes_completed_short,0.007
passes_short,-0.0721
passes_completed_medium,0.0118
passes_medium,0.1861
passes_completed_long,-0.3068
passes_long,0.0537
passes_total_distance,-0.0848
passes_free_kicks,-0.1086
through_balls,-0.632
passes_pressure,-0.6981
passes_switches,-0.3582
crosses,0.492
corner_kicks,-0.5197
passes_intercepted,-0.4059
passes_blocked,0.7333
dispossessed,-0.2759
goals,-0.502
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.6815
shots_on_target,-0.8389
sca,-0.4541
gca,-0.6657
xg,-0.585
crosses_into_penalty_area,0.9287
passes_into_final_third,-0.2031
passes_into_penalty_area,0.0237
progressive_passes,-0.2722
carry_progressive_distance,-0.3132
assisted_shots,-0.2837
fouled,0.8447
pens_won,0.6239
tackles,0.6877
interceptions,0.6283
blocks,-0.1607
tackles_won,0.1941
dribble_tackles,1.4315
dribbles_vs,0.803
pressures,-1.0072
pressure_regains,-0.7346
clearances,0.872
errors,-0.3758
aerials_won,0.382
aerials_lost,-0.1213
ball_recoveries,-0.1379
pens_conceded,-0.3182
fouls,1.0263
cards_yellow_red,3.0793
