position,LW
minutes,1.3363
passes_completed,-0.7962
passes,-0.8851
dribbles_completed,1.8558
dribbles,2.0242
passes_completed_short,-0.3721
passes_short,-0.3743
passes_completed_medium,-0.9112
passes_medium,-0.9683
passes_completed_long,-0.8309
passes_long,-0.9507
passes_total_distance,-0.9036
passes_free_kicks,-0.8811
through_balls,-0.2944
passes_pressure,-0.4596
passes_switches,-0.5778
crosses,0.3772
corner_kicks,-0.5565
passes_intercepted,-0.1821
passes_blocked,0.1172
dispossessed,1.2811
goals,0.5049
assists,0.5658
pens_made,-0.2418
pens_att,-0.271
shots_total,1.6328
shots_on_target,1.3068
sca,0.3889
gca,0.3676
xg,1.3681
crosses_into_penalty_area,0.329
passes_into_final_third,-0.896
passes_into_penalty_area,0.0335
progressive_passes,-0.8059
carry_progressive_distance,0.7801
assisted_shots,0.0759
fouled,1.5538
pens_won,0.2713
tackles,1.1327
interceptions,0.6541
blocks,1.0944
tackles_won,1.1216
dribble_tackles,1.0856
dribbles_vs,1.4726
pressures,0.3295
pressure_regains,0.6242
clearances,-0.6422
errors,-0.3758
aerials_won,-0.3456
aerials_lost,0.4545
ball_recoveries,-0.2583
pens_conceded,-0.3182
fouls,0.4633
cards_yellow_red,-0.1906
