position,LW
minutes,496.0
passes_completed,0.237
passes,0.3773
dribbles_completed,1.5576
dribbles,2.7885
passes_completed_short,0.838
passes_short,0.8604
passes_completed_medium,-0.0903
passes_medium,-0.0995
passes_completed_long,-0.2919
passes_long,-0.0825
passes_total_distance,0.0533
passes_free_kicks,-0.3797
through_balls,0.6538
passes_pressure,1.8962
passes_switches,0.9376
crosses,0.9593
corner_kicks,0.4768
passes_intercepted,1.1197
passes_blocked,1.8429
dispossessed,1.4601
goals,0.316
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,3.6467
shots_on_target,3.419
sca,0.9703
gca,0.6042
xg,0.4126
crosses_into_penalty_area,1.0747
passes_into_final_third,-0.1807
passes_into_penalty_area,0.6785
progressive_passes,0.3839
carry_progressive_distance,3.1126
assisted_shots,-0.3532
fouled,1.5223
pens_won,-0.2937
tackles,0.823
interceptions,-1.2582
blocks,-1.4956
tackles_won,0.7022
dribble_tackles,0.0037
dribbles_vs,2.2944
pressures,1.5854
pressure_regains,1.3934
clearances,-0.6877
errors,-0.376
aerials_won,-0.5893
aerials_lost,-0.5737
ball_recoveries,0.0826
pens_conceded,-0.3183
fouls,1.1879
cards_yellow_red,-0.1907
