position,AM
passes_completed,0.0267
passes,0.3858
dribbles_completed,0.7304
dribbles,1.3293
passes_completed_short,0.3587
passes_short,0.3829
passes_completed_medium,-0.2832
passes_medium,-0.1287
passes_completed_long,-0.0703
passes_long,0.5647
passes_total_distance,-0.1355
passes_free_kicks,1.5904
through_balls,0.3252
passes_pressure,1.1149
passes_switches,3.1743
crosses,0.479
corner_kicks,6.773
passes_intercepted,0.5858
passes_blocked,0.3516
dispossessed,2.3209
goals,-0.0367
assists,3.8552
pens_made,3.0835
pens_att,2.5306
shots_total,1.0137
shots_on_target,-0.154
sca,2.4016
gca,1.8819
xg,0.6308
crosses_into_penalty_area,-0.8365
passes_into_final_third,0.0977
passes_into_penalty_area,0.4509
progressive_passes,0.2973
carry_progressive_distance,0.5481
assisted_shots,2.9097
fouled,-0.5475
pens_won,-0.3695
tackles,0.2549
interceptions,-1.1451
blocks,-0.254
tackles_won,0.5008
dribble_tackles,0.0276
dribbles_vs,0.5308
pressures,1.5821
pressure_regains,1.5614
clearances,-0.7515
errors,-0.5457
aerials_won,-1.1308
aerials_lost,-0.2611
ball_recoveries,-0.4547
pens_conceded,-0.4415
fouls,-0.1297
cards_yellow_red,5.6925
