position,FW
minutes,0.5958
passes_completed,0.2343
passes,0.272
dribbles_completed,0.3968
dribbles,0.4158
passes_completed_short,0.3603
passes_short,0.4431
passes_completed_medium,0.1167
passes_medium,0.1593
passes_completed_long,0.1453
passes_long,0.0625
passes_total_distance,0.1593
passes_free_kicks,0.1957
through_balls,0.354
passes_pressure,0.5538
passes_switches,0.1316
crosses,-0.2424
corner_kicks,-0.2751
passes_intercepted,-0.0588
passes_blocked,0.723
dispossessed,1.0514
goals,0.9778
assists,-0.1163
pens_made,1.1384
pens_att,0.8987
shots_total,1.2012
shots_on_target,0.866
sca,0.6723
gca,0.7373
xg,0.9526
crosses_into_penalty_area,-0.2735
passes_into_final_third,0.5122
passes_into_penalty_area,0.2638
progressive_passes,0.4054
carry_progressive_distance,-0.1385
assisted_shots,0.427
fouled,3.0388
pens_won,-0.3681
tackles,0.0525
interceptions,-0.0549
blocks,0.1497
tackles_won,0.0161
dribble_tackles,-0.213
dribbles_vs,0.0285
pressures,0.5602
pressure_regains,0.4347
clearances,-0.056
errors,-0.5331
aerials_won,0.8954
aerials_lost,1.921
ball_recoveries,0.415
pens_conceded,0.7569
fouls,2.0921
cards_yellow_red,-0.3235
