position,LM
passes_completed,-0.0688
passes,0.2712
dribbles_completed,-1.0214
dribbles,-0.589
passes_completed_short,0.2797
passes_short,0.4386
passes_completed_medium,-0.1552
passes_medium,0.043
passes_completed_long,-0.3803
passes_long,0.3015
passes_total_distance,-0.2342
passes_free_kicks,-0.0774
through_balls,-0.632
passes_pressure,0.0698
passes_switches,0.3202
crosses,0.5147
corner_kicks,0.9629
passes_intercepted,-0.45
passes_blocked,1.3479
dispossessed,-0.7351
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.2788
shots_on_target,-0.5381
sca,-0.3798
gca,-1.0099
xg,-0.747
crosses_into_penalty_area,0.5649
passes_into_final_third,-0.5223
passes_into_penalty_area,0.257
progressive_passes,0.1223
carry_progressive_distance,0.4847
assisted_shots,0.0416
fouled,-0.854
pens_won,-0.2935
tackles,-1.4947
interceptions,-0.3818
blocks,0.4803
tackles_won,-1.1359
dribble_tackles,-0.9075
dribbles_vs,-1.5013
pressures,-0.7119
pressure_regains,-0.2668
clearances,-0.5332
errors,-0.3758
aerials_won,-0.3313
aerials_lost,-0.9115
ball_recoveries,-0.0415
pens_conceded,-0.3182
fouls,-0.7479
cards_yellow_red,-0.1906
