position,WB
passes_completed,0.2157
passes,0.4906
dribbles_completed,0.8424
dribbles,1.0548
passes_completed_short,0.4092
passes_short,0.3955
passes_completed_medium,0.0238
passes_medium,0.2205
passes_completed_long,0.0215
passes_long,0.584
passes_total_distance,0.113
passes_free_kicks,-0.3244
through_balls,-0.0037
passes_pressure,-0.292
passes_switches,0.2515
crosses,1.399
corner_kicks,-0.4443
passes_intercepted,0.4979
passes_blocked,0.7233
dispossessed,-0.0099
goals,-0.5544
assists,0.4136
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.5239
shots_on_target,-0.594
sca,-0.1682
gca,0.4361
xg,-0.6148
crosses_into_penalty_area,0.7173
passes_into_final_third,-0.1227
passes_into_penalty_area,0.1713
progressive_passes,0.2528
carry_progressive_distance,1.0836
assisted_shots,-0.122
fouled,0.611
pens_won,-0.2935
tackles,0.8995
interceptions,0.8963
blocks,1.9694
tackles_won,0.9029
dribble_tackles,1.1448
dribbles_vs,0.7727
pressures,-0.093
pressure_regains,0.2292
clearances,0.3016
errors,0.2439
aerials_won,0.0529
aerials_lost,-0.2528
ball_recoveries,0.1431
pens_conceded,-0.3182
fouls,-0.2256
cards_yellow_red,-0.1906
