position,RM
minutes,360.0
passes_completed,-0.7631
passes,-0.8203
dribbles_completed,-0.6913
dribbles,-0.9284
passes_completed_short,-0.3284
passes_short,-0.4177
passes_completed_medium,-0.7423
passes_medium,-0.6604
passes_completed_long,-0.9951
passes_long,-1.1364
passes_total_distance,-0.797
passes_free_kicks,-0.4321
through_balls,-0.6322
passes_pressure,-1.7504
passes_switches,0.212
crosses,-0.1049
corner_kicks,0.3926
passes_intercepted,-1.2718
passes_blocked,0.6893
dispossessed,-0.8491
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.5124
shots_on_target,1.4224
sca,0.1463
gca,-1.0103
xg,0.1866
crosses_into_penalty_area,0.0335
passes_into_final_third,0.2123
passes_into_penalty_area,1.038
progressive_passes,0.6657
carry_progressive_distance,-0.5487
assisted_shots,-0.3185
fouled,-1.3281
pens_won,-0.2937
tackles,-1.3774
interceptions,-0.592
blocks,0.3999
tackles_won,-1.3992
dribble_tackles,-0.7758
dribbles_vs,-0.5029
pressures,-0.8341
pressure_regains,-0.5971
clearances,-0.865
errors,-0.376
aerials_won,-0.634
aerials_lost,-1.0681
ball_recoveries,-0.8631
pens_conceded,-0.3183
fouls,-0.8302
cards_yellow_red,-0.1907
