position,LB
passes_completed,-0.051
passes,0.4134
dribbles_completed,-0.7139
dribbles,-0.7513
passes_completed_short,-0.1292
passes_short,-0.1111
passes_completed_medium,-0.1032
passes_medium,0.095
passes_completed_long,0.3486
passes_long,1.1646
passes_total_distance,0.072
passes_free_kicks,1.3837
through_balls,-0.5088
passes_pressure,0.2002
passes_switches,2.1462
crosses,2.2676
corner_kicks,3.2167
passes_intercepted,0.2363
passes_blocked,0.8565
dispossessed,-0.7125
goals,0.2745
assists,1.5615
pens_made,0.0719
pens_att,-0.0165
shots_total,-0.3023
shots_on_target,-0.072
sca,1.1171
gca,0.5141
xg,-0.2955
crosses_into_penalty_area,2.8909
passes_into_final_third,-0.1495
passes_into_penalty_area,1.6279
progressive_passes,0.4525
carry_progressive_distance,-0.4166
assisted_shots,2.2915
fouled,-0.7565
pens_won,-0.3695
tackles,-0.1825
interceptions,-0.2651
blocks,-0.5677
tackles_won,-0.2821
dribble_tackles,0.0105
dribbles_vs,0.0443
pressures,-0.3007
pressure_regains,-0.2302
clearances,0.0203
errors,-0.2863
aerials_won,-0.4184
aerials_lost,-0.3429
ball_recoveries,-0.1232
pens_conceded,-0.4415
fouls,-0.9887
cards_yellow_red,-0.2618
