position,LB
minutes,1055.0
passes_completed,1.008
passes,0.9932
dribbles_completed,0.168
dribbles,-0.0537
passes_completed_short,2.028
passes_short,1.8739
passes_completed_medium,0.432
passes_medium,0.4926
passes_completed_long,-0.3662
passes_long,-0.1655
passes_total_distance,0.5125
passes_free_kicks,-0.3174
through_balls,0.577
passes_pressure,-0.2565
passes_switches,-0.3896
crosses,-0.0101
corner_kicks,-0.5567
passes_intercepted,0.142
passes_blocked,0.1271
dispossessed,0.0333
goals,-0.724
assists,-0.0873
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.3358
shots_on_target,-1.029
sca,-1.125
gca,-0.2513
xg,-0.8911
crosses_into_penalty_area,-0.549
passes_into_final_third,-0.3716
passes_into_penalty_area,-0.6409
progressive_passes,0.1834
carry_progressive_distance,0.7902
assisted_shots,-0.783
fouled,-0.7436
pens_won,-0.2937
tackles,0.1514
interceptions,-0.7456
blocks,1.6722
tackles_won,-0.0461
dribble_tackles,0.3695
dribbles_vs,-0.3678
pressures,-0.758
pressure_regains,-0.6547
clearances,0.6797
errors,-0.376
aerials_won,0.1508
aerials_lost,-0.3528
ball_recoveries,0.3361
pens_conceded,-0.3183
fouls,-0.3869
cards_yellow_red,-0.1907
