position,AM
minutes,-0.5102
passes_completed,0.8573
passes,0.7463
dribbles_completed,-0.1013
dribbles,-0.4099
passes_completed_short,1.112
passes_short,1.2626
passes_completed_medium,0.5244
passes_medium,0.4558
passes_completed_long,0.2906
passes_long,-0.1686
passes_total_distance,0.6512
passes_free_kicks,0.1994
through_balls,0.9978
passes_pressure,0.1601
passes_switches,0.4532
crosses,-0.6613
corner_kicks,-0.4473
passes_intercepted,0.0297
passes_blocked,-0.6896
dispossessed,0.6677
goals,0.5943
assists,1.0729
pens_made,5.2274
pens_att,4.3001
shots_total,-0.6067
shots_on_target,-0.4648
sca,0.4669
gca,0.0132
xg,0.7615
crosses_into_penalty_area,-0.8504
passes_into_final_third,1.2637
passes_into_penalty_area,-0.4083
progressive_passes,0.5955
carry_progressive_distance,0.1089
assisted_shots,0.9169
fouled,-0.2666
pens_won,-0.2935
tackles,-0.3352
interceptions,0.2866
blocks,-0.362
tackles_won,-0.227
dribble_tackles,-0.2193
dribbles_vs,-1.1606
pressures,-0.3395
pressure_regains,-0.2517
clearances,-0.8074
errors,-0.3758
aerials_won,-0.0952
aerials_lost,0.1063
ball_recoveries,-0.4853
pens_conceded,-0.3182
fouls,0.1906
cards_yellow_red,-0.1906
