position,RW
minutes,0.4103
passes_completed,1.3767
passes,1.3969
dribbles_completed,-0.2831
dribbles,-0.4632
passes_completed_short,2.0682
passes_short,1.9478
passes_completed_medium,0.4955
passes_medium,0.5537
passes_completed_long,0.6768
passes_long,0.6983
passes_total_distance,0.9727
passes_free_kicks,0.5179
through_balls,-0.0715
passes_pressure,1.0233
passes_switches,1.7821
crosses,1.2126
corner_kicks,1.4703
passes_intercepted,0.0893
passes_blocked,0.0978
dispossessed,-0.2957
goals,-0.0439
assists,1.1313
pens_made,-0.2418
pens_att,-0.271
shots_total,0.1262
shots_on_target,0.0376
sca,1.6248
gca,1.1009
xg,-0.0669
crosses_into_penalty_area,0.9677
passes_into_final_third,0.8461
passes_into_penalty_area,1.8462
progressive_passes,0.7808
carry_progressive_distance,0.0282
assisted_shots,1.8418
fouled,-0.543
pens_won,0.6441
tackles,-1.2664
interceptions,-0.8928
blocks,-1.3557
tackles_won,-1.2133
dribble_tackles,-1.0184
dribbles_vs,-0.7166
pressures,-0.7504
pressure_regains,-1.1802
clearances,-0.8008
errors,-0.3758
aerials_won,-1.1368
aerials_lost,-1.1219
ball_recoveries,-0.3496
pens_conceded,-0.3182
fouls,-1.2756
cards_yellow_red,-0.1906
