position,GK
passes_completed,-1.4967
passes,-1.3957
dribbles_completed,-1.1007
dribbles,-1.1044
passes_completed_short,-1.9172
passes_short,-2.0915
passes_completed_medium,-1.3877
passes_medium,-1.6547
passes_completed_long,0.7368
passes_long,1.6245
passes_total_distance,-0.4971
passes_free_kicks,1.0414
through_balls,-0.6366
passes_pressure,-2.3548
passes_switches,-1.0483
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-1.6233
passes_blocked,-1.6404
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.4385
gca,-1.0626
xg,-0.8489
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.3648
passes_into_penalty_area,-1.2034
progressive_passes,-1.7729
carry_progressive_distance,-1.4894
assisted_shots,-1.2712
fouled,-1.4169
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.7896
pressures,-2.1242
pressure_regains,-2.2692
clearances,-1.0228
errors,0.0917
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-1.7077
pens_conceded,0.1036
fouls,-1.8269
cards_yellow_red,-0.2618
