position,LM
passes_completed,-0.7747
passes,-0.9651
dribbles_completed,0.0491
dribbles,0.0563
passes_completed_short,-0.6468
passes_short,-0.671
passes_completed_medium,-0.7334
passes_medium,-0.8526
passes_completed_long,-0.302
passes_long,-0.5212
passes_total_distance,-0.7261
passes_free_kicks,-1.0771
through_balls,1.5099
passes_pressure,-0.4555
passes_switches,-1.2157
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-0.4213
passes_blocked,-0.0247
dispossessed,0.3952
goals,-0.7415
assists,0.3848
pens_made,-0.2739
pens_att,-0.3089
shots_total,0.5656
shots_on_target,-0.6916
sca,-0.7317
gca,0.1906
xg,-0.186
crosses_into_penalty_area,-0.8365
passes_into_final_third,0.2051
passes_into_penalty_area,-0.6268
progressive_passes,0.154
carry_progressive_distance,-0.2424
assisted_shots,-0.5712
fouled,0.29
pens_won,-0.3695
tackles,1.1594
interceptions,-0.174
blocks,0.8611
tackles_won,1.044
dribble_tackles,0.1235
dribbles_vs,0.4189
pressures,2.186
pressure_regains,2.0574
clearances,-0.614
errors,-0.5457
aerials_won,0.096
aerials_lost,1.4698
ball_recoveries,-0.0131
pens_conceded,-0.4415
fouls,1.8296
cards_yellow_red,-0.2618
