position,GK
minutes,1.5915
passes_completed,0.4779
passes,0.4391
dribbles_completed,-0.6606
dribbles,-0.6655
passes_completed_short,-0.4089
passes_short,-0.4786
passes_completed_medium,0.4991
passes_medium,0.3327
passes_completed_long,2.329
passes_long,1.9965
passes_total_distance,1.1544
passes_free_kicks,1.5051
through_balls,-0.5
passes_pressure,-0.2483
passes_switches,1.2261
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.5751
passes_blocked,-0.7471
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.6475
gca,-0.525
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.6698
passes_into_penalty_area,-0.6203
progressive_passes,-0.7807
carry_progressive_distance,-0.3227
assisted_shots,-0.6472
fouled,-0.7199
pens_won,-0.3681
tackles,-0.8323
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.8297
pressures,-0.9045
pressure_regains,-0.9168
clearances,-0.5899
errors,3.3832
aerials_won,-0.6772
aerials_lost,-0.761
ball_recoveries,0.2693
pens_conceded,0.7569
fouls,-0.8646
cards_yellow_red,-0.3235
