position,AM
minutes,1032.0
passes_completed,0.4979
passes,0.5114
dribbles_completed,0.4878
dribbles,0.5049
passes_completed_short,0.7844
passes_short,0.7048
passes_completed_medium,0.099
passes_medium,0.0215
passes_completed_long,0.2582
passes_long,0.5368
passes_total_distance,0.3319
passes_free_kicks,2.065
through_balls,2.4581
passes_pressure,1.3013
passes_switches,1.2208
crosses,0.015
corner_kicks,2.3408
passes_intercepted,0.5954
passes_blocked,0.2989
dispossessed,0.7564
goals,-0.2242
assists,0.6272
pens_made,-0.2419
pens_att,-0.2711
shots_total,1.0589
shots_on_target,1.5364
sca,2.4236
gca,1.3176
xg,0.3621
crosses_into_penalty_area,0.3831
passes_into_final_third,0.5651
passes_into_penalty_area,0.8743
progressive_passes,1.0719
carry_progressive_distance,0.8895
assisted_shots,2.9884
fouled,1.0451
pens_won,-0.2937
tackles,-0.7305
interceptions,-0.361
blocks,-0.7061
tackles_won,-0.4638
dribble_tackles,-0.745
dribbles_vs,-0.1269
pressures,-0.2329
pressure_regains,0.483
clearances,-0.858
errors,-0.376
aerials_won,-0.7861
aerials_lost,-0.6029
ball_recoveries,0.1236
pens_conceded,-0.3183
fouls,0.2151
cards_yellow_red,-0.1907
