position,DM
minutes,601.0
passes_completed,1.48
passes,1.4459
dribbles_completed,0.4082
dribbles,-0.05
passes_completed_short,0.9822
passes_short,1.3419
passes_completed_medium,1.1881
passes_medium,1.0987
passes_completed_long,1.8699
passes_long,0.9437
passes_total_distance,1.6142
passes_free_kicks,1.6284
through_balls,-0.6322
passes_pressure,3.0871
passes_switches,1.4925
crosses,-1.1359
corner_kicks,0.0119
passes_intercepted,1.3016
passes_blocked,0.5393
dispossessed,0.1104
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.8614
shots_on_target,-0.6619
sca,-0.2211
gca,-1.0103
xg,-0.5683
crosses_into_penalty_area,-0.8508
passes_into_final_third,0.2092
passes_into_penalty_area,-1.0738
progressive_passes,0.5332
carry_progressive_distance,0.2701
assisted_shots,-0.1052
fouled,0.3581
pens_won,-0.2937
tackles,0.6897
interceptions,2.7465
blocks,-0.4679
tackles_won,1.3062
dribble_tackles,0.1484
dribbles_vs,1.725
pressures,0.3802
pressure_regains,1.6273
clearances,0.4273
errors,-0.376
aerials_won,1.4253
aerials_lost,0.8505
ball_recoveries,3.3692
pens_conceded,-0.3183
fouls,1.3507
cards_yellow_red,-0.1907
