position,LM
minutes,-0.7715
passes_completed,-0.0058
passes,0.3683
dribbles_completed,0.9694
dribbles,0.9415
passes_completed_short,0.6783
passes_short,0.7969
passes_completed_medium,-0.4153
passes_medium,0.2168
passes_completed_long,-0.2684
passes_long,-0.4321
passes_total_distance,-0.2205
passes_free_kicks,-0.7257
through_balls,-0.632
passes_pressure,0.6654
passes_switches,0.7547
crosses,3.6219
corner_kicks,-0.0803
passes_intercepted,-0.0934
passes_blocked,2.1621
dispossessed,-0.5629
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,1.0484
shots_on_target,-0.4138
sca,0.7627
gca,0.1058
xg,0.3705
crosses_into_penalty_area,4.4719
passes_into_final_third,-0.5499
passes_into_penalty_area,3.0068
progressive_passes,0.1927
carry_progressive_distance,0.5802
assisted_shots,1.8466
fouled,-0.9874
pens_won,-0.2935
tackles,-0.781
interceptions,1.5095
blocks,0.0152
tackles_won,-0.5199
dribble_tackles,-0.7732
dribbles_vs,-0.2027
pressures,0.4654
pressure_regains,1.0572
clearances,-0.5621
errors,-0.3758
aerials_won,0.3778
aerials_lost,-0.8062
ball_recoveries,-0.4899
pens_conceded,-0.3182
fouls,-0.4194
cards_yellow_red,-0.1906
