position,RM
minutes,480.0
passes_completed,-0.3887
passes,-0.0516
dribbles_completed,2.6843
dribbles,1.7808
passes_completed_short,0.0721
passes_short,0.1421
passes_completed_medium,-0.6173
passes_medium,-0.1827
passes_completed_long,-0.5212
passes_long,-0.1671
passes_total_distance,-0.5542
passes_free_kicks,0.3054
through_balls,0.6966
passes_pressure,-0.5228
passes_switches,-0.5914
crosses,1.4931
corner_kicks,1.5792
passes_intercepted,0.3399
passes_blocked,-0.4968
dispossessed,1.5559
goals,0.3506
assists,-0.7714
pens_made,4.2173
pens_att,3.4559
shots_total,-0.5437
shots_on_target,-0.5693
sca,-0.0058
gca,-1.0103
xg,0.5908
crosses_into_penalty_area,0.4757
passes_into_final_third,0.5571
passes_into_penalty_area,-0.135
progressive_passes,1.1865
carry_progressive_distance,-0.1164
assisted_shots,-0.3185
fouled,-0.3988
pens_won,-0.2937
tackles,0.4722
interceptions,-0.0692
blocks,-0.8775
tackles_won,1.1147
dribble_tackles,0.0518
dribbles_vs,0.0115
pressures,0.1536
pressure_regains,0.3055
clearances,-0.5639
errors,-0.376
aerials_won,-0.571
aerials_lost,0.2307
ball_recoveries,-0.6355
pens_conceded,-0.3183
fouls,-1.1339
cards_yellow_red,-0.1907
