position,AM
passes_completed,2.3926
passes,2.0891
dribbles_completed,-0.2537
dribbles,-0.3999
passes_completed_short,2.5579
passes_short,2.3308
passes_completed_medium,1.7028
passes_medium,1.5511
passes_completed_long,1.2026
passes_long,0.3828
passes_total_distance,1.9618
passes_free_kicks,0.4161
through_balls,0.78
passes_pressure,1.0233
passes_switches,0.7264
crosses,-0.4599
corner_kicks,-0.2209
passes_intercepted,-0.2105
passes_blocked,-0.236
dispossessed,-0.2707
goals,-0.2365
assists,-0.6611
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.39
shots_on_target,-0.4399
sca,0.9682
gca,-0.2187
xg,-0.2769
crosses_into_penalty_area,-0.2116
passes_into_final_third,2.9637
passes_into_penalty_area,0.8417
progressive_passes,1.4053
carry_progressive_distance,1.1464
assisted_shots,0.6985
fouled,0.4388
pens_won,-0.3695
tackles,0.1052
interceptions,-0.1597
blocks,-0.4493
tackles_won,0.0643
dribble_tackles,0.3007
dribbles_vs,0.771
pressures,0.5377
pressure_regains,0.4333
clearances,-0.4286
errors,-0.0945
aerials_won,-0.821
aerials_lost,-0.3458
ball_recoveries,0.4235
pens_conceded,-0.4415
fouls,-0.1696
cards_yellow_red,-0.2618
