position,LB
minutes,-0.7333
passes_completed,0.6565
passes,1.0048
dribbles_completed,-0.2991
dribbles,0.4715
passes_completed_short,1.2113
passes_short,1.6177
passes_completed_medium,0.2743
passes_medium,0.4713
passes_completed_long,-0.2234
passes_long,0.0137
passes_total_distance,0.2022
passes_free_kicks,-0.2647
through_balls,-0.632
passes_pressure,1.0033
passes_switches,-0.4779
crosses,-0.6063
corner_kicks,-0.5565
passes_intercepted,5.1608
passes_blocked,2.1934
dispossessed,0.0377
goals,0.502
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,0.2456
shots_on_target,1.0683
sca,-1.1574
gca,-1.0099
xg,-0.5835
crosses_into_penalty_area,-0.094
passes_into_final_third,0.0781
passes_into_penalty_area,-0.3041
progressive_passes,0.1354
carry_progressive_distance,1.5772
assisted_shots,-1.0879
fouled,-0.7982
pens_won,-0.2935
tackles,0.3097
interceptions,-0.2954
blocks,4.0369
tackles_won,0.0342
dribble_tackles,1.9605
dribbles_vs,3.3082
pressures,-0.0901
pressure_regains,0.6158
clearances,0.1439
errors,-0.3758
aerials_won,-0.491
aerials_lost,-0.8829
ball_recoveries,0.86
pens_conceded,-0.3182
fouls,-1.005
cards_yellow_red,-0.1906
