position,LB
passes_completed,1.1414
passes,1.3388
dribbles_completed,-0.4075
dribbles,-0.1313
passes_completed_short,1.778
passes_short,1.7486
passes_completed_medium,0.8249
passes_medium,0.8935
passes_completed_long,-0.267
passes_long,0.2272
passes_total_distance,0.6907
passes_free_kicks,0.5734
through_balls,-0.632
passes_pressure,0.7565
passes_switches,-0.4096
crosses,1.0053
corner_kicks,-0.5565
passes_intercepted,0.5512
passes_blocked,2.1608
dispossessed,-0.0681
goals,-0.7238
assists,-0.3375
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.2503
shots_on_target,-0.4984
sca,-0.4061
gca,-0.2882
xg,-0.6577
crosses_into_penalty_area,1.4447
passes_into_final_third,-0.3333
passes_into_penalty_area,0.2147
progressive_passes,0.4377
carry_progressive_distance,0.5692
assisted_shots,-0.1525
fouled,0.4541
pens_won,-0.2935
tackles,0.1437
interceptions,0.9637
blocks,1.2198
tackles_won,-0.039
dribble_tackles,0.5674
dribbles_vs,0.1262
pressures,-0.1427
pressure_regains,0.372
clearances,1.0363
errors,0.7584
aerials_won,-0.3748
aerials_lost,0.4706
ball_recoveries,0.4901
pens_conceded,-0.3182
fouls,-0.1174
cards_yellow_red,-0.1906
