position,WB
minutes,-0.4853
passes_completed,-0.5523
passes,-0.4795
dribbles_completed,-0.0564
dribbles,-0.0563
passes_completed_short,-0.6162
passes_short,-0.6129
passes_completed_medium,-0.4989
passes_medium,-0.4435
passes_completed_long,-0.3342
passes_long,-0.1564
passes_total_distance,-0.4996
passes_free_kicks,-0.5236
through_balls,-0.5
passes_pressure,-0.542
passes_switches,-0.3245
crosses,0.0125
corner_kicks,-0.3242
passes_intercepted,-0.4162
passes_blocked,-0.1989
dispossessed,-0.3187
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.5631
shots_on_target,-0.526
sca,-0.455
gca,-0.6302
xg,-0.4943
crosses_into_penalty_area,0.1
passes_into_final_third,-0.4092
passes_into_penalty_area,-0.224
progressive_passes,-0.2526
carry_progressive_distance,-0.4035
assisted_shots,-0.5095
fouled,-0.2628
pens_won,-0.3681
tackles,-0.324
interceptions,0.0163
blocks,-0.3609
tackles_won,-0.2486
dribble_tackles,-0.3199
dribbles_vs,-0.5246
pressures,-0.5373
pressure_regains,-0.4742
clearances,-0.1279
errors,-0.5331
aerials_won,-0.3627
aerials_lost,-0.3868
ball_recoveries,-0.2612
pens_conceded,-0.4889
fouls,-0.327
cards_yellow_red,-0.3235
