position,RB
passes_completed,1.1477
passes,1.1279
dribbles_completed,0.1103
dribbles,0.0418
passes_completed_short,1.1599
passes_short,1.021
passes_completed_medium,1.1172
passes_medium,1.1578
passes_completed_long,0.0312
passes_long,-0.0153
passes_total_distance,0.8245
passes_free_kicks,0.2278
through_balls,-0.3728
passes_pressure,0.1642
passes_switches,-0.5546
crosses,-0.2296
corner_kicks,-0.4808
passes_intercepted,1.0603
passes_blocked,0.4182
dispossessed,-0.533
goals,-0.5051
assists,0.3166
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.5721
shots_on_target,-0.7076
sca,-0.3874
gca,-0.0749
xg,-0.5615
crosses_into_penalty_area,-0.2514
passes_into_final_third,1.5489
passes_into_penalty_area,-0.3477
progressive_passes,1.5071
carry_progressive_distance,1.1383
assisted_shots,-0.4973
fouled,-0.2001
pens_won,-0.3695
tackles,0.1461
interceptions,0.9383
blocks,1.2745
tackles_won,0.0117
dribble_tackles,0.9418
dribbles_vs,0.0929
pressures,-0.0214
pressure_regains,0.2612
clearances,0.9836
errors,1.9896
aerials_won,0.5453
aerials_lost,0.4025
ball_recoveries,0.437
pens_conceded,-0.4415
fouls,0.0931
cards_yellow_red,-0.2618
