position,LB
minutes,1984.0
passes_completed,0.4748
passes,0.6037
dribbles_completed,-0.6924
dribbles,-0.5604
passes_completed_short,0.6808
passes_short,0.5895
passes_completed_medium,0.3698
passes_medium,0.4804
passes_completed_long,-0.1936
passes_long,0.2865
passes_total_distance,0.2472
passes_free_kicks,-0.5938
through_balls,-0.6322
passes_pressure,0.4175
passes_switches,-0.3258
crosses,0.8471
corner_kicks,-0.4705
passes_intercepted,1.1197
passes_blocked,0.1212
dispossessed,-0.7476
goals,-0.464
assists,-0.0439
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.0484
shots_on_target,-0.8066
sca,-0.2805
gca,-0.2031
xg,-0.7933
crosses_into_penalty_area,1.5561
passes_into_final_third,0.153
passes_into_penalty_area,0.04
progressive_passes,0.5003
carry_progressive_distance,-0.0081
assisted_shots,-0.1577
fouled,-0.9302
pens_won,-0.2937
tackles,-0.0361
interceptions,2.3465
blocks,0.5014
tackles_won,0.1469
dribble_tackles,-0.2366
dribbles_vs,-0.7459
pressures,-1.2901
pressure_regains,-1.2569
clearances,-0.2506
errors,1.527
aerials_won,-0.7263
aerials_lost,-0.5737
ball_recoveries,0.6609
pens_conceded,-0.3183
fouls,-0.502
cards_yellow_red,-0.1907
